amfi_code,scheme_name,category,hhi,sector_count,top_sector_weight,top_sector_weight_pct,concentration_level,risk_grade,sharpe_ratio,aum_crore
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.20644766999999994,7,0.3818,38.18,Moderately concentrated,Moderate,0.85,25803
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.20070043,6,0.3507,35.07,Moderately concentrated,Very High,0.9,41613
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.17475095999999998,7,0.2825,28.249999999999996,Moderately concentrated,Very High,0.93,36061
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.17470902,8,0.2895,28.95,Moderately concentrated,Moderate,0.93,7350
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.1682982,6,0.3044,30.44,Moderately concentrated,Moderate,1.0,20909
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.16792973,6,0.2861,28.610000000000003,Moderately concentrated,Moderately High,0.91,49046
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.15757036000000002,7,0.2346,23.46,Moderately concentrated,High,0.95,979
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.1537936,7,0.2147,21.47,Moderately concentrated,Moderately High,0.98,2571
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.15241398,6,0.22829999999999998,22.83,Moderately concentrated,High,0.8,18792
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.14968035000000002,7,0.22440000000000002,22.44,Unconcentrated,Moderate,0.87,35585
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.14939642,7,0.2553,25.53,Unconcentrated,High,0.8,2989
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.14759225999999998,7,0.2607,26.07,Unconcentrated,High,0.87,23185
149323,DSP Midcap Fund - Regular - Growth,Equity,0.14162096000000002,7,0.2284,22.84,Unconcentrated,High,0.9,37835
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.14087026,7,0.2069,20.69,Unconcentrated,Moderate,0.82,36022
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.13953386,8,0.259,25.900000000000002,Unconcentrated,Moderate,1.06,6434
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.13858416999999998,6,0.2293,22.93,Unconcentrated,Moderate,1.06,11361
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.13658554,7,0.19039999999999999,19.04,Unconcentrated,Moderate,0.96,10611
119094,Axis Midcap Fund - Regular - Growth,Equity,0.13640591000000002,6,0.23170000000000002,23.17,Unconcentrated,High,0.8,28996
118635,Nippon India ETF Nifty 50 BeES,Equity,0.13594415,6,0.17850000000000002,17.85,Unconcentrated,Moderate,0.91,20284
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.13439797,7,0.18280000000000002,18.28,Unconcentrated,Moderate,0.92,41828
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.13089424,8,0.2022,20.22,Unconcentrated,Moderate,0.87,15866
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.12980494999999997,6,0.1973,19.73,Unconcentrated,Moderately High,0.96,17912
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.12933173,7,0.1902,19.02,Unconcentrated,Moderate,0.98,23500
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.12868306000000002,9,0.19940000000000002,19.94,Unconcentrated,Moderately High,0.98,35012
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.12743880999999999,8,0.195,19.5,Unconcentrated,High,0.96,47469
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.12146086,7,0.2073,20.73,Unconcentrated,Moderate,0.88,39475
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.11871551999999999,8,0.1822,18.22,Unconcentrated,Moderate,0.88,14288
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.11867710000000001,9,0.1971,19.71,Unconcentrated,Very High,0.8,35124
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.11469284,10,0.18989999999999999,18.99,Unconcentrated,High,0.82,41728
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.10960535000000002,8,0.17800000000000002,17.8,Unconcentrated,Very High,0.84,21545
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.10867415000000001,8,0.17370000000000002,17.37,Unconcentrated,Moderate,1.03,41553
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.10835772,8,0.1359,13.59,Unconcentrated,Very High,0.81,43630
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.10801068999999998,7,0.1788,17.88,Unconcentrated,Moderate,0.81,1231
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.10734895,7,0.165,16.5,Unconcentrated,Very High,0.94,19259
