amfi_code,VaR_95_daily_pct,CVaR_95_daily_pct,observations,tail_observations,scheme_name,category,risk_grade,sharpe_ratio,aum_crore
119599,-2.685943514961382,-3.238412245049217,1149,58,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,Very High,0.93,36061
119095,-2.618842440959035,-3.166729360598028,1149,58,Axis Small Cap Fund - Regular - Growth,Small Cap,Very High,0.84,21545
101207,-2.6021248221061066,-3.245905898704435,1149,58,ABSL Small Cap Fund - Regular - Growth,Small Cap,Very High,0.9,41613
118634,-2.543811145896311,-3.2304072697818533,1149,58,Nippon India Small Cap Fund - Regular - Growth,Small Cap,Very High,0.81,43630
119598,-2.45070519056771,-3.059526410880242,1149,58,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,Very High,0.94,19259
149324,-2.3483069386777156,-3.103625202188441,1149,58,DSP Small Cap Fund - Regular - Growth,Small Cap,Very High,0.8,35124
102886,-1.922028344426503,-2.325086026922121,1149,58,UTI Mid Cap Fund - Regular - Growth,Mid Cap,High,0.82,41728
100033,-1.9033535861558826,-2.3455762770703794,1149,58,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,High,0.87,23185
120505,-1.889178619869274,-2.434207039551981,1149,58,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,High,0.95,979
119094,-1.8480276243938307,-2.426005947837057,1149,58,Axis Midcap Fund - Regular - Growth,Mid Cap,High,0.8,28996
125498,-1.8365320169601018,-2.309379305316794,1149,58,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,High,0.8,18792
120842,-1.8218530452556079,-2.2724975262680878,1149,58,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,High,0.96,47469
149323,-1.7882076201903474,-2.2606642100420333,1149,58,DSP Midcap Fund - Regular - Growth,Mid Cap,High,0.9,37835
148569,-1.7118192655621134,-2.1328305810328105,1149,58,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,High,0.8,2989
102887,-1.5231617279157872,-1.9411182679158694,1149,58,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,Moderately High,0.96,17912
148568,-1.4711531333512795,-1.876476958423089,1149,58,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,Moderately High,0.91,49046
125497,-1.459176907114046,-1.830988532805791,1149,58,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,Moderate,0.96,10611
120843,-1.4507941385630474,-1.8381077688017156,1149,58,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,Moderately High,0.98,35012
149322,-1.447385198379274,-1.8401747612732604,1149,58,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,Moderate,0.92,41828
120506,-1.4388462899080912,-1.940489860249691,1149,58,ICICI Pru Value Discovery Fund - Regular - Growth,Value,Moderately High,0.98,2571
100016,-1.4363639988111143,-1.806020763217176,1149,58,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,Moderate,1.06,6434
119093,-1.4225516634796054,-1.7486709749013059,1149,58,Axis Bluechip Fund - Direct - Growth,Large Cap,Moderate,0.87,15866
118632,-1.3954045870018117,-1.7618579320162155,1149,58,Nippon India Large Cap Fund - Regular - Growth,Large Cap,Moderate,1.0,20909
119092,-1.3749592076363815,-1.7327870956436053,1149,58,Axis Bluechip Fund - Regular - Growth,Large Cap,Moderate,0.85,25803
120504,-1.3728193295939772,-1.7494143685606607,1149,58,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,Moderate,1.03,41553
148567,-1.355977641751056,-1.7622879905822204,1149,58,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,Moderate,1.06,11361
120503,-1.355001716250348,-1.745055416552432,1149,58,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,Moderate,0.82,36022
119552,-1.3500970479935082,-1.7335699664199813,1149,58,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,Moderate,0.81,1231
118633,-1.3442525143024242,-1.6630178254004826,1149,58,Nippon India Large Cap Fund - Direct - Growth,Large Cap,Moderate,0.88,39475
101206,-1.328166198628149,-1.7439425687129195,1149,58,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,Moderate,0.98,23500
120841,-1.3141782186804063,-1.636273661834337,1149,58,Kotak Bluechip Fund - Regular - Growth,Large Cap,Moderate,0.87,35585
119551,-1.284622862884257,-1.639680693408763,1149,58,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,Moderate,0.88,14288
102885,-1.261262882069356,-1.549040525311211,1149,58,UTI Nifty 50 Index Fund - Regular - Growth,Index,Moderate,0.93,7350
118635,-1.2553697284754661,-1.617696049480912,1149,58,Nippon India ETF Nifty 50 BeES,Index/ETF,Moderate,0.91,20284
119120,-0.3938283121850805,-0.5013693153022244,1149,58,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,Low,1.52,24101
118636,-0.38041460689443474,-0.49189184204782943,1149,58,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,Low,1.33,30030
100025,-0.3793246199522682,-0.4993763020560281,1149,58,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,Low,1.84,27953
120844,-0.028479272823556105,-0.0410995919332325,1149,58,Kotak Liquid Fund - Regular - Growth,Liquid,Low,6.18,27623
101208,-0.02686575130400159,-0.04220820655857685,1149,58,ABSL Liquid Fund - Regular - Growth,Liquid,Low,5.14,38995
120507,-0.022157351389344715,-0.037258039979649646,1149,58,ICICI Pru Liquid Fund - Regular - Growth,Liquid,Low,7.68,39116
